pr_id,pr_title,pr_repo,ALG/FUNC,Module,RootCause,Semantic,SubComponent,Symptom,Syntactic,iSemantic,DIAction,DSAction
8832,Third_Party:fixed build comparison error,ApolloAuto/apollo,TENSORFLOW,OTHER,DATA,DNN_RELATED,TENSORFLOW,BUILD,LV,BCE,,CHANGE_DATA_TYPE
8879,Planning: fix bug on initializing the valet parking threshold param…,ApolloAuto/apollo,OPEN_SPACE_TRAJECTORY_PARTITION,PLANNING,INTER-API,"TRAJECTORY_PARTITION, PARKING_CONTROL",OPTIMIZERS/OPEN_SPACE_TRAJECTORY_PARTITION,STOP,"MC, AS","PPO, DFC",,"FIX_API_MISUSE, MODIFY_TRAJECTORY_PARTITION, OPTIMIZE_PLANNING_TASKS"
8898,tools: fixed issue:#8759 configurator.sh is no longer functioning,ApolloAuto/apollo,MODULE_CONF,UTILITIES & TOOLS,CONFIG,"SCRIPT, LIBRARY",CONFIGURATOR,BUILD,"LIB, AS","MII, DU",,"CHANGE/ADD/DELETE_LIB_IMPORTING, FIX_API_MISUSE"
9046,perception: update status flag to avoid printing wrong error message at debug_inf…,ApolloAuto/apollo,ONLINE_CALIBRATION_SERVICE,PERCEPTION,ASSI,CAMERA_CALIBRATION,CAMERA,"IO, CAM",AS,"DTI, MII",,"ENABLE/DISABLE/CHANGE_STATUS/FLAGS/MODE, ADJUST_CAMERA, ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS, CHANGE_DATA_PROCESSING"
9092,fix python identation problem,ApolloAuto/apollo,,UTILITIES & TOOLS,SNT,"INDENT_PROBLEM, SCRIPT",,IO,SYN,"BCE, MII",,"ADJUST_INDENT_IN_PYTHON, OPTIMIZE_SCRIPT_TOOLS"
9103,Update modules/planning/README_cn.md fix architecture image problem,ApolloAuto/apollo,,PLANNING,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
9181,Grammar fixes in the README file.,ApolloAuto/apollo,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
9187,Perception: fix CopyPointCloudExclude,ApolloAuto/apollo,POINTCLOUD_PREPROCESSOR,PERCEPTION,SNT,"POINTCLOUD_PREPROCESSOR, LIDAR",,LOGIC,LV,"EA, DFC",,"MODIFY_POINTCLOUD_PROCESSING, FIX_API_MISUSE"
9239,Perception: fix belief_velocity_online_covariance,ApolloAuto/apollo,MLF_MOTION_FILTER,PERCEPTION,NUM,"FUSION_SYSTEM, PERCEPTION_COMPUTATION",LIDAR,SVC,AS,"EA, DFC",,"REPAIR_LIDAR_INTEGRATION_ISSUES, MODIFY_FUSION_ALGORITHM, ADJUST_VELOCITY/SPEED_CONTROL, UPDATE_DATA_VALUES/CALCULATION"
9267,Docs: fixed some grammar issues in README,ApolloAuto/apollo,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
9283,Planning: fix a potential bug in grid search,ApolloAuto/apollo,GRID_SEARCH,PLANNING,ALG,TRAJECTORY_GENERATOR,OPEN_SPACE/COARSE_TRAJECTORY_GENERATOR,TRAJ,SQ,"PPO, DFC",,"IMPROVE_TRAJECTORY/PATH_GENERATION, MOVE_STATEMENTS"
9291,Fix Typo,ApolloAuto/apollo,PNC_MAP,MAP,SNT,"TYPO_CORRECTING, DEBUG_CHANGE",PNC_MAP,IO,MC,"SAR, DTI",,"MODIFY_SYNTAX_ERROR, ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS, MODIFY_PNC_MAP"
9310,Perception: fix pitch angle update,ApolloAuto/apollo,ONLINE_CALIBRATION_SERVICE,PERCEPTION,ALG,CAMERA_CALIBRATION,CAMERA,"OP, CAM","AS, LV","EA, DFC",,"ADJUST_CAMERA, FIX_API_MISUSE"
9346,Planning: fixed bugs in ParkAndGo scenario,ApolloAuto/apollo,FUNC:CHECKADCPARKANDGOCRUISECOMPLETED,PLANNING,ALG,PARKING_CONTROL,PLANNING_SCENARIOS,STOP,"AS, LV, MC","PPO, DFC",,ADJUST_STOP/PARK_CONTROL
9347,planning: open space planner reset default flag to raise passing rate,ApolloAuto/apollo,,PLANNING,CONFIG,PARAMETER,,TRAJ,NV,"PPO, DFC",,
9367,Map: fix stop_for_destination_ assigning,ApolloAuto/apollo,PNC_MAP,MAP,ICL,"MAP_TOOLS, DESTINATION_STOP",PNC_MAP,STOP,"IF, LV, MC","SAR, DFC",,"CHANGE_CONDITION_LOGIC, MODIFY_PNC_MAP, ADJUST_STOP/PARK_CONTROL"
9375,prediction:fix coredump when get map by LaneById return nullptr,ApolloAuto/apollo,ROAD_GRAPH,PREDICTION,MCC,ROAD_GRAPH,,CRASHES,"MC, IF, RT","PAE, EHR",,"ADD_CONDITION_LOGIC, FIX_NULL_POINTER_ISSUE, MODIFY_ROAD_GRAPH"
9378,Planning: bug fixes in open_sapce_roi_decider for PardAndGo scenario,ApolloAuto/apollo,OPEN_SPACE_ROI_DECIDER,PLANNING,SNT,"DECIDER_RELATED, PARKING_CONTROL",DECIDERS/OPEN_SPACE_DECIDER,STOP,AS,PPO,,"CHANGE_DECISION_MAKING_ALGORITHM, ADJUST_STOP/PARK_CONTROL"
9463,Planning: fix a bug with adc-l derivative calculation.,ApolloAuto/apollo,PATH_BOUNDS_DECIDER,PLANNING,NUM,DECIDER_RELATED,DECIDERS/PATH_BOUNDS_DECIDER,TRAJ,AS,"PPO, DFC",,"CHANGE_DECISION_MAKING_ALGORITHM, UPDATE_DATA_VALUES/CALCULATION"
9467,Planning: fix calling of map::Path::GetNearestPoint,ApolloAuto/apollo,RULE_BASED_STOP_DECIDER,PLANNING,NUM,DECIDER_RELATED,DECIDERS/RULE_BASED_STOP_DECIDER,STOP,"AS, MC","PPO, DFC",,"CHANGE_DECISION_MAKING_ALGORITHM, FIX_API_MISUSE, OPTIMIZE_PLANNING_TASKS"
9483,Perception: fix typo in probabilistic_fusion.cc,ApolloAuto/apollo,PROBABILISTIC_FUSION,PERCEPTION,SNT,TYPO_CORRECTING,FUSION,UN,LV,"EA, DFC",,"MODIFY_FUSION_ALGORITHM, FIX_API_MISUSE, MODIFY_SYNTAX_ERROR"
9488,map: fix compile warning.,ApolloAuto/apollo,CUDA,MAP,DEP,"CUDA, DEP",PNC_MAP,BUILD,LIB,"BCE, DU, SAR",,"FIX_CUDA_ISSUES, CHANGE/ADD/DELETE_LIB_IMPORTING"
9492,Prediction: fix bug in tensor in cruise mlp,ApolloAuto/apollo,CRUISE_MLP_EVALUATOR,PREDICTION,EXTER-API,CRUISE_MLP_EVALUATOR,EVALUATOR,OP,"AS, MC","PAE, DFC",,"FIX_API_MISUSE, MODIFY_PREDICTION_EVALUATOR, UPDATE_DATA_VALUES/CALCULATION"
9536,Fix cuda directory path to use cuda symlink,ApolloAuto/apollo,,SYSTEM,DEP,"CUDA, VERSIONING",,BUILD,"IF, MC","DU, BCE, MII",,
9586,Scripts: Fix potential CI failure on environment issue.,ApolloAuto/apollo,,SYSTEM,EXTER-API,"SCRIPT, CI_PIPELINE",,BUILD,MC,"MII, BCE",,
9604,Tools: fixed an index error in rtk_player,ApolloAuto/apollo,RTK_PLAYER,UTILITIES & TOOLS,ICL,RECORDER,RECORD_PLAY,IO,IF,"MII, DTI",,"CHANGE_CONDITION_LOGIC, MODIFY_RECORD_PROCESSING/PLAY_ERROR, OPTIMIZE_SCRIPT_TOOLS"
9608,Planning: added path_reuse_decider default config,ApolloAuto/apollo,,PLANNING,CONFIG,PARAMETER,,LPN,NV,"PPO, CEM",,
9612,Planning: fix speed limit violations in dp st,ApolloAuto/apollo,PATH_TIME_HEURISTIC,PLANNING,ALG,"OPTIMIZER, SPEED_LIMIT",OPTIMIZERS/PATH_TIME_HEURISTIC,SVC,"LOOP, AS, LV, MC","PPO, SME",,"ADJUST_VELOCITY/SPEED_CONTROL, OPTIMIZE_PLANNING_TASKS"
9630,"Monitor: Per localization team, take MSF CRITICAL_ERROR as WARNING.",ApolloAuto/apollo,GPS_MONITOR,HMI,INTER-API,GPS_MONITOR,MONITOR,"IO, SS",MC,"UIA, MII",,"ENABLE/DISABLE/CHANGE_STATUS/FLAGS/MODE, ADJUST_GPS_MONITOR"
9640,Perception: Add default configuration values,ApolloAuto/apollo,,PERCEPTION,CONFIG,PARAMETER,FUSION,UN,NV,"EA, CEM",,
9653,planning: fix a bug in traffic-light-unprotected-right-turn scenario …,ApolloAuto/apollo,UNPROTECTED_RT:STAGE_STOP,PLANNING,ALG,"STOP_CONTROL, INTERSECTION, UNPROTECTED_RIGHT_TURN",TRAFFIC_LIGHT/UNPROTECTED_RIGHT_TURN,TLP,"IF, MC, RT, LV","PPO, LA",,"ADJUST_TRAFFIC_SIGNAL_PROCESSING, MODIFY_AV_TURNING_LOGIC, ADJUST_STOP/PARK_CONTROL"
9658,HMI: Fix recorder keywords for monitoring in RTK mode.,ApolloAuto/apollo,,HMI,CONFIG,"PARAMETER, HMI_MODES",DREAMVIEW,DGUI,NV,"MII, DTI",,
9685,cyber: fix time to string format bug,ApolloAuto/apollo,TIMER_COMPONENT,INFRASTRUCTURE,EXTER-API,TIMER_COMPONENT,TIMER,IO,MC,"MII, DFC",,"FIX_API_MISUSE, RESCHEDULE_TIMER, ADJUST_ADS_FRAMEWORK"
9686,cyber: bug fix for condition notifier,ApolloAuto/apollo,CONDITION_NOTIFIER,INFRASTRUCTURE,ICL,CYBER_CHANNEL,TRANSPORT/SHM,LOGIC,"IF, LV","MII, DFC",,"CHANGE_CONDITION_LOGIC, ADJUST_ADS_FRAMEWORK"
9702,Planning: fix a bug with smart lane-change.,ApolloAuto/apollo,PATH_BOUNDS_DECIDER,PLANNING,EXTER-API,LANE_CHANGE,DECIDERS/PATH_BOUNDS_DECIDER,LPN,AS,"PPO, LA",,"CHANGE_DECISION_MAKING_ALGORITHM, OPTIMIZE_PLANNING_TASKS, ADJUST_LANE_PLANNER, ADJUST_CHANGE_LANE_RULE"
9714,fix some unnecessary security checks,ApolloAuto/apollo,,MAP,MCC,"MAP_CHECK, DEBUG_CHANGE",HDMAP,SS,"IF, MC","SS, EHR",,"ADD_CONDITION_LOGIC, ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS, ADD_MAP/LANE_CHECKING"
9732,cyber: fix bug in destructor，may cause error in UT for low probability.,ApolloAuto/apollo,ASYNC_LOGGER,INFRASTRUCTURE,MEM,LOG_SYSTEM,LOGGER,CRASHES,"MC, LOOP",EHR,,ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS
9745,Perception: Fix Eigen::solver crash. ,ApolloAuto/apollo,ALG:EIGEN_SOLVER,PERCEPTION,DATA,"TYPE_CONVERSION, PERCEPTION_COMPUTATION",CAMERA,"CRASHES, CAM","MC, AS","DFC, EHR, EA",,"ADJUST_CAMERA, CHANGE_DATA_TYPE"
9763,planning: fixed a bug when denominator could be zero,ApolloAuto/apollo,ALG:ST_BOUNDARY,PLANNING,MCC,ST_BOUNDARY,SPEED,CRASHES,AS,"PPO, EHR",,"ADJUST_LANE_BOUNDARY, ADD_CONDITION_LOGIC, ADJUST_VELOCITY/SPEED_CONTROL"
9820,cyber: fix build error on arm,ApolloAuto/apollo,MESSAGE_PROCESS,HMI,DEP,"DATA_PROCESSING, DEP",CYBER_MONITOR,BUILD,LIB,"BCE, DU, RDPI",,CHANGE/ADD/DELETE_LIB_IMPORTING
9852,planning: minor fix,ApolloAuto/apollo,ALG:SCENARIO_MANAGER,PLANNING,MCC,"DEBUG_CHANGE, PLANNING_SCENARIO_MANAGER",PLANNING_SCENARIOS,IO,SW,DTI,,"ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS, ADD_CONDITION_LOGIC, MODIFY_SCENARIO/PLANNER_MANAGER"
9855,Planning: bug fix with path_assessment_decider.,ApolloAuto/apollo,PATH_ASSESSMENT_DECIDER,PLANNING,NUM,PATH_ASSESSMENT_DECIDER,DECIDERS/PATH_ASSESSMENT_DECIDER,TRAJ,IF,PPO,,"CHANGE_DECISION_MAKING_ALGORITHM, CHANGE_CONDITION_LOGIC"
9896,cyber: bugfix dereference if nullptr and enable HAVE_FCNTL,ApolloAuto/apollo,,INFRASTRUCTURE,MCC,LOG_SYSTEM,LOGGER,CRASHES,"IF, RT","DTI, EHR, MII",,"FIX_NULL_POINTER_ISSUE, ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS, CHANGE_CONDITION_LOGIC"
9923,Planning: header file and code file parameter naming inconsistency fix,ApolloAuto/apollo,PATH_TIME_HEURISTIC,PLANNING,SNT,TYPO_CORRECTING,OPTIMIZERS/PATH_TIME_HEURISTIC,UN,MD,BCE,,"FIX_API_MISUSE, MODIFY_SYNTAX_ERROR, OPTIMIZE_PLANNING_TASKS"
9928,Localization: fix bug on lossless_map_creator tool,ApolloAuto/apollo,LOSSLESS_MAP_CREATOR,LOCALIZATION,INTER-API,LOCALIZATION_MAP,MSF_LOCALIZATION,LOC,MC,"SME, BCE",,"FIX_API_MISUSE, MODIFY_MAP_CREATOR/GENERATOR, MODIFY_MSF_LOCALIZATION"
9939,localmap: fix bug for running localmap tool in fuel_proxy folder,ApolloAuto/apollo,,SYSTEM,DEP,SCRIPT,,LOGIC,"LOOP, MC",BCE,,
9947,Update dreamview debug doc for pcl lib version,ApolloAuto/apollo,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
9950,Perception: Fix debug log mistakes.,ApolloAuto/apollo,HDMAP_INPUT,PERCEPTION,SNT,DEBUG_CHANGE,HDMAP,IO,MC,"DTI, DFC, EA",,ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS
9961,tools: minor fix of routing util,ApolloAuto/apollo,,UTILITIES & TOOLS,SNT,DATA_PROCESSING,,CRASHES,"MC, SYN","DFC, RDPI",,CHANGE_DATA_PROCESSING
9966,Planning: Fix infinite loop that size_t >= 0 is always true.,ApolloAuto/apollo,PULL_OVER,PLANNING,ALG,PARKING_CONTROL,PARK/PULL_OVER,HANGS,"IF, LOOP","PPO, DFC",,"CHANGE_CONDITION_LOGIC, ADJUST_STOP/PARK_CONTROL"
9969,Docker: Fix bosfs installer.,ApolloAuto/apollo,,DOCKER,DEP,"SCRIPT, DEP, DOCKER",,BUILD,MC,"DU, BCE",,
10005,Perception: Fix typo in channel name.,ApolloAuto/apollo,,PERCEPTION,SNT,"TYPO_CORRECTING, INDENT_PROBLEM",,UN,NV,"BCE, EA",,
10008,fix a bug of hyperlink; add descriptions about how to change the frequency of camera topic,ApolloAuto/apollo,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
10023,Planning: Fix miss-matched brackets.,ApolloAuto/apollo,PATH_BOUNDS_DECIDER,PLANNING,SNT,TYPO_CORRECTING,DECIDERS/PATH_BOUNDS_DECIDER,LOGIC,LOOP,BCE,,"MODIFY_SYNTAX_ERROR, CHANGE_DECISION_MAKING_ALGORITHM"
10040,common: fixed a bug in digital filter,ApolloAuto/apollo,DIGITAL_FILTER,UTILITIES & TOOLS,MEM,"DIGITAL_FILTER, DATA_PROCESSING",,LOGIC,MC,"DFC, RDPI",,"FIX_MEMORY_ISSUE, CHANGE_DATA_PROCESSING"
10063,Planning: Fix potential mem leak caused by missing dtor.,ApolloAuto/apollo,ALG:SPLINE_1D_SOLVER,PLANNING,MEM,"PATH_PLANNING, MEMORY_LEAK",SMOOTHING_SPLINE,CRASHES,MD,"PPO, RMI",,"FIX_API_MISUSE, FIX_MEMORY_ISSUE"
10092,cyber:fixed log level,ApolloAuto/apollo,,INFRASTRUCTURE,EXTER-API,DEBUG_CHANGE,PY_WRAPPER,IO,MC,"DTI, UIA, MII",,ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS
10103,Docker: updated docker image to resolve caffe lib issue,ApolloAuto/apollo,,DOCKER,DEP,"DEP, VERSIONING, PARAMETER",,BUILD,NV,"BCE, DU",,
10115,Prediction: fix a bug in computing speed in semantic lstm evaluator,ApolloAuto/apollo,SEMANTIC_LSTM_EVALUATOR,PREDICTION,NUM,SEMANTIC_LSTM_EVALUATOR,EVALUATOR,OP,"LV, IF, MC, AS",PAE,,"ADJUST_VELOCITY/SPEED_CONTROL, MODIFY_PREDICTION_EVALUATOR, MODIFY_SEMANTIC_LSTM_EVALUATOR"
10134,Dreamview: fix format string for unsigned int,ApolloAuto/apollo,TELEOP,HMI,EXTER-API,TYPE_CONVERSION,DREAMVIEW,IO,MC,DTI,,"CHANGE_DATA_PROCESSING, MODIFY_TELEOP"
10211,Tools: Fix PYTHONPATH pollution in fuel_proxy submitter.,ApolloAuto/apollo,SUBMIT_JOB,UTILITIES & TOOLS,DEP,"SCRIPT, VERSIONING",FUEL_PROXY,UN,"AS, LIB, IF",BCE,,"CHANGE/ADD/DELETE_LIB_IMPORTING, OPTIMIZE_SCRIPT_TOOLS, CHANGE_VERSION"
10223,Planning: fix an dp st dimension indexing issue,ApolloAuto/apollo,PATH_TIME_HEURISTIC,PLANNING,NUM,OPTIMIZER,OPTIMIZERS/PATH_TIME_HEURISTIC,LPN,AS,"PPO, DFC",,"OPTIMIZE_PLANNING_TASKS, UPDATE_DATA_VALUES/CALCULATION"
10230,Localization: Quick fix on std::for_each which doesn't support early return.,ApolloAuto/apollo,BASE_MAP,LOCALIZATION,EXTER-API,"LOCALIZATION_MAP, LOCALIZATION",MSF_LOCALIZATION,LOGIC,"LIB, RT, IF, LOOP","SAR, EHR",,"MODIFY_MSF_LOCALIZATION, CHANGE/ADD/DELETE_LIB_IMPORTING, MODIFY_MAP_LOCALIZATION"
10246,Prediction: fix device bug for pedestrain_interation_evaluator,ApolloAuto/apollo,PEDESTRIAN_INTERACTION_EVALUATOR,PREDICTION,INTER-API,"PEDESTRIAN_INTERACTION_EVALUATOR, PREDICTOR, PREDICTOR/PEDESTRIAN",EVALUATOR,TRAJ,MC,PAE,,"FIX_API_MISUSE, MODIFY_PEDESTRAIN_INTERATION_EVALUATOR"
10251,fix-link-contributing,ApolloAuto/apollo,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
10261,Localization: fix bug on lossless_map_creator tool,ApolloAuto/apollo,LOSSLESS_MAP_CREATOR,LOCALIZATION,INTER-API,MAP_TOOLS,MSF_LOCALIZATION,LOC,MC,"SAR, SME",,"MODIFY_MAP_CREATOR/GENERATOR, FIX_API_MISUSE"
10276,[cyber_monitor] Fix crash when unfold the a repeated field,ApolloAuto/apollo,MESSAGE_PROCESS,HMI,MCC,DATA_PROCESSING,CYBER_TOOLS,CRASHES,IF,"DTI, UIA, MII, RDPI",,"CHANGE_DATA_TYPE, CHANGE_DATA_PROCESSING, ADJUST_ADS_FRAMEWORK"
10283,Prediction: fix Init in predictor submodule,ApolloAuto/apollo,,PREDICTION,INTER-API,PREDICTOR,,LAU,"MC, IF",PAE,,"CHANGE_CONDITION_LOGIC, FIX_API_MISUSE, MODIFY_PREDICTION_PREDICTOR"
10293,Perception: fix the absence of instance in cnn segmentation,ApolloAuto/apollo,,PERCEPTION,DEP,"PARAMETER, DEP",LIDAR,BUILD,NV,"BCE, EA",,
10300,Prediction: fix bug for unexpected return on GroupObstaclesByObstacleIds,ApolloAuto/apollo,EVALUATOR_MANAGER,PREDICTION,ALG,EVALUATOR_MANAGER,EVALUATOR,OP,"RT, LOOP",PAE,,"ADD/DELETE/CHANGE_RETURN_VALUES, MODIFY_PREDICTION_EVALUATOR, MODIFY_OBJECT_PREDICTION/PLANNING"
10303,Planning: fix s soft bound in nlp speed,ApolloAuto/apollo,PIECEWISE_JERK_SPEED_NONLINEAR_OPTIMIZER,PLANNING,ASSI,"OPTIMIZER, TRAJECTORY_GENERATOR",OPTIMIZERS/PIECEWISE_JERK_SPEED,SVC,AS,PPO,,"MODIFY_PIECEWISE_JERK_OPTIMIZER, FIX_API_MISUSE"
10318,ThirdParty: fix issue #10284,ApolloAuto/apollo,,OTHER,DATA,"DNN_RELATED, TYPE_CONVERSION",TENSORFLOW,HANGS,"LV, AS",DU,,CHANGE_DATA_TYPE
10322,Planning: bug fix with st-bounds decision.,ApolloAuto/apollo,ST_BOUNDS_DECIDER,PLANNING,ALG,"DEBUG_CHANGE, DECIDER_RELATED, PATH_PLANNING",DECIDERS/ST_BOUNDS_DECIDER,TRAJ,"SQ, MC","PPO, DTI",,"CHANGE_DECISION_MAKING_ALGORITHM, ADJUST_LANE_BOUNDARY, ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS, MOVE_STATEMENTS"
10339,Control: refactor the default control_conf MRAC parameters,ApolloAuto/apollo,,CONTROL,CONFIG,PARAMETER,,UN,NV,CSA,,
10379,scripts: refix the return status check of docker run,ApolloAuto/apollo,,DOCKER,EXTER-API,"SCRIPT, DOCKER, BUILD",,LAU,SQ,CEM,,
10434,Scripts: Fix function name.,ApolloAuto/apollo,,SYSTEM,EXTER-API,"SCRIPT, COMMANDS_CHANGE, LOG_SYSTEM",,IO,MC,CEM,,
10446,Prediction: fix submodule_output get ego vehicle,ApolloAuto/apollo,OBSTACLES_CONTAINER,PREDICTION,ALG,PREDICTOR,CONTAINER/OBSTACLES,IO,"MC, LV",PAE,,"CHANGE_DATA_PROCESSING, MODIFY_OBJECT_PREDICTION/PLANNING"
10450,Planning: added back scenario debug info in open_space planer,ApolloAuto/apollo,ON_LANE_PLANNING,PLANNING,INTER-API,DEBUG_CHANGE,,IO,MC,DTI,,"FIX_API_MISUSE, ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS"
10461,Planning: minor fix in engage advice.,ApolloAuto/apollo,REFERENCE_LINE_INFO,PLANNING,ICL,REFERENCE_LINE,,IO,"MC, IF",PPO,,"CHANGE_CONDITION_LOGIC, FIX_API_MISUSE"
10482,Planning: merge debug data when export_chart is on,ApolloAuto/apollo,ON_LANE_PLANNING,PLANNING,INTER-API,DEBUG_CHANGE,,IO,SQ,DTI,,"ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS, MOVE_STATEMENTS"
10493,Planning: bug fix on GetUnblockSRange(),ApolloAuto/apollo,ALG:ST_BOUNDARY,PLANNING,ALG,ST_BOUNDARY,,LOGIC,RT,PPO,,"ADD/DELETE/CHANGE_RETURN_VALUES, ADJUST_VELOCITY/SPEED_CONTROL, ADJUST_LANE_BOUNDARY"
10498,Prediction: fix bug for ego vehicle history_size check,ApolloAuto/apollo,SEQUENCE_PREDICTOR,PREDICTION,ICL,PREDICTOR,PREDICTOR/SEQUENCE,LOGIC,IF,PAE,,"CHANGE_CONDITION_LOGIC, MODIFY_PREDICTION_PREDICTOR"
10527,Planning: fix fallback speed optimization runs into max iteration,ApolloAuto/apollo,SPEED_PROFILE_GENERATOR,PLANNING,INTER-API,PLANNING_FALLBACK,,SVC,MC,"DFC, PPO",,"FIX_API_MISUSE, ADJUST_VELOCITY/SPEED_CONTROL, UPDATE_DATA_VALUES/CALCULATION"
10532,Common: reduce error frequency of latency reporting in simulation mode,ApolloAuto/apollo,LATENCY_RECORDER,SIMULATOR,ALG,LATENCY_RECORDER,LATENCY_RECORDER,IO,"IF, LIB, MC, LV, RT","RDPI, SPO",,"CHANGE/ADD/DELETE_LIB_IMPORTING, MODIFY_LATENCY_RECORDER"
10597,fix misleading component testcase names,ApolloAuto/apollo,,INFRASTRUCTURE,SNT,"TEST_RELATED, DEBUG_CHANGE",,UN,"LV, MC","DTI, MII",,"MODIFY_TEST_CASE/UTILS/MANAGER, FIX_API_MISUSE"
10601,fix unmatched path with picture,ApolloAuto/apollo,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
10641,cyber_launch: fixed a TypeError(byte-like object is required) introdu…,ApolloAuto/apollo,,INFRASTRUCTURE,DATA,"INFRASTRUCTURE, TYPE_CONVERSION, LOG_SYSTEM",,CRASHES,MC,MII,,
10704,python: revert setting python3 as default until python2 is retired,ApolloAuto/apollo,,DOCKER,DEP,"DEP, VERSIONING",,UN,LV,DU,,
10752,Cyber: fix cyber_node output format issue,ApolloAuto/apollo,,INFRASTRUCTURE,EXTER-API,DATA_PROCESSING,,IO,MC,"DU, MII, RDPI",,CHANGE_DATA_PROCESSING
10766,Planning: added debug info for open-space ipopt method,ApolloAuto/apollo,OPEN_SPACE_TRAJECTORY_OPTIMIZER,PLANNING,ALG,DEBUG_CHANGE,OPTIMIZERS/OPEN_SPACE_TRAJECTORY_GENERATION,IO,"LV, MC","DTI, PPO",,ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS
10768,planning: fix missing pull_over position virsualization,ApolloAuto/apollo,STAGE_RETRY_PARKING,PLANNING,INTER-API,DEBUG_CHANGE,PARK/PULL_OVER,DGUI,MC,"DTI, PPO",,"FIX_API_MISUSE, ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS, ADJUST_STOP/PARK_CONTROL"
10773,[Docs]Correct some errors (#10772),ApolloAuto/apollo,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
10789,Planning: fix debug information for trajectory optimizer,ApolloAuto/apollo,OPEN_SPACE_TRAJECTORY_OPTIMIZER,PLANNING,EXTER-API,DEBUG_CHANGE,OPTIMIZERS/OPEN_SPACE_TRAJECTORY_GENERATION,IO,MC,"DTI, PPO",,"ADD/DELETE/CHANGE_RETURN_VALUES, ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS"
10827,Scripts: fix exit status check,ApolloAuto/apollo,,SYSTEM,EXTER-API,SCRIPT,,LAU,MC,MII,,
10877,cyber: fix timer bug,ApolloAuto/apollo,TIMING_WHEEL,INFRASTRUCTURE,ICL,TIMER_COMPONENT,TIMER,LOGIC,IF,MII,,"CHANGE_CONDITION_LOGIC, RESCHEDULE_TIMER, ADJUST_ADS_FRAMEWORK"
10896,planning: fixed a bug in local routing for learning data,ApolloAuto/apollo,FEATURE_GENERATOR,PLANNING,ICL,FEATURE_GENERATOR,PIPELINE,LOGIC,LOOP,PPO,,"MODIFY_FEATURE_GENERATOR, CHANGE_PLANNING_PIPELINE, CHANGE_CONDITION_LOGIC"
10925,planning: remove duplicate path point. fix for https://github.com/Apo…,ApolloAuto/apollo,ALG:PIECEWISE_JERK_PATH_OPTIMIZER,PLANNING,ALG,TRAJECTORY_GENERATOR,OPTIMIZERS/PIECEWISE_JERK_PATH,TRAJ,"MC, AS, IF",PPO,,MODIFY_PIECEWISE_JERK_OPTIMIZER
10935,cyber: fix timer bug,ApolloAuto/apollo,TIMING_WHEEL,INFRASTRUCTURE,NUM,TIMER_COMPONENT,TIMER,UN,"MC, AS",MII,,"RESCHEDULE_TIMER, ADJUST_ADS_FRAMEWORK"
10942,planning: fixed bugs in learning data,ApolloAuto/apollo,,PLANNING,ALG,FEATURE_GENERATOR,PIPELINE,UN,"AS, IF, LV, MC, MD, LOOP",PPO,,"MODIFY_FEATURE_GENERATOR, CHANGE_PLANNING_PIPELINE"
10948,Fixed processor_id range overflow,ApolloAuto/apollo,SCHEDULER_CHOREOGRAPHY,INFRASTRUCTURE,MEM,"SCHEDULER_CHOREOGRAPHY, TYPE_CONVERSION",SCHEDULER/POLICY,CRASHES,"IF, MC, LV, RT, AS","RMI, DFC, MII",,"CHANGE_DATA_TYPE, CHANGE/RESCHEDULE_PROCESS"
10971,map: hide two error logging that's very frequent on some maps,ApolloAuto/apollo,HDMAP,MAP,EXTER-API,LOG_SYSTEM,HDMAP,IO,MC,SAR,,ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS
11073,fix canbus configuration update guide,ApolloAuto/apollo,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
11076,Planning: fixed typos in description,ApolloAuto/apollo,,PLANNING,DOC,DOCUMENTATION,,DOC,DOC,DUC,,MODIFY_SYNTAX_ERROR
